Main Code;Full HS code;HS Code Name
27;271111;Liquified Natural Gas
27;271121;Gaseous Natural Gas
28;281410;Anhydrous ammonia
28;281420;Ammonia in aqueous solution
31;310210;Urea, whether or not in aqueous solution
31;310280;Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution
31;310230;Ammonium nitrate, whether or not in aqueous solution
31;310260;Double salts and mixtures of calcium nitrate and ammonium nitrate
31;310240;Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances
72;720310;Ferrous products obtained by direct reduction of iron ore
72;7208;Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, hot-rolled, not clad, plated or coated.
72;7209;Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.
72;7216;Angles, shapes and sections of iron or non-alloy steel.
72;720711;"Semi-finished products of iron or non-alloy steel.
- Containing by weight less than 0.25 % of carbon :
-- Of rectangular (including square) cross-section, the measuring less than twice the thickness"